Title,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18
S. Scheffler,4.25,4.5,3.75,3.25,4,2.75,3.5,4.25,3.75,4.25,4,2.75,4.5,4,4.75,2.75,3.5,5
Course Avg.,4.3,4.58,4.05,3.26,4.33,3.15,4.16,4.74,4.01,4.23,4.48,3.23,4.85,4.05,4.93,3.01,4.21,4.39
